stat,value
mean,72.84226653041432
std,7.149737509449632
q01,58.71444777226692
q05,62.58812642318406
q10,64.55019912294695
q25,67.93729771618591
q50,72.02377204417826
q75,76.99094988028848
q90,82.28359688075047
q95,85.79616740015065
q99,93.07618208939573
p_ge_80,0.15139
p_ge_90,0.0204
